Temps,Axe de travail,Exercice,Date,Timestamp,Commentaire
30,Billes en lunette,Enchainement billes lunette Guenet 1,2023-08-12,2023-08-12 15:14:53.178793,"Billes en lunette dominante mauvaise main, tourner position pour rappel 2 bandes avec prise d'americaine possible"
20,Gestuelle,Gretillat exo 61,2023-08-12,2023-08-12 15:16:43.389344,gamme retro largeur
60,Rappel long,Gretillat exo 59,2023-08-12,2023-08-12 15:17:41.030502,bouger bille le long de la ligne de départ et chercher différents rappels
15,Série,Serie libre,2023-08-12,2023-08-12 15:18:21.816755,15 de série
20,Position aléatoire long,Gretillat exo 10,2023-08-12,2023-08-12 15:19:24.427574,billes au milieu de la table et on les mene au 4 coins
20,Position aléatoire large,Gretillat live 3,2023-08-12,2023-08-12 15:19:58.407950,positions aleatoires dans le tiers
20,Série,Serie libre,2023-08-12,2023-08-12 15:20:28.664545,
10,Position aléatoire long,Gretillat Live 31,2023-08-12,2023-08-12 15:21:26.845867,positions aléatoires dans la longueur
30,Prises americaine,Gretillat Positions Livre,2023-08-12,2023-08-12 15:22:48.259741,pos 1-11
20,Série,Serie libre,2023-08-12,2023-08-12 15:23:09.707565,
30,Position aléatoire long,Gretillat Live 31,2023-08-12,2023-08-12 15:23:57.210224,positions aléatoires dans la longueur
30,Position aléatoire long,Gretillat Live 31,2023-08-12,2023-08-12 15:24:04.934446,positions aléatoires dans la longueur
30,Position aléatoire long,Gretillat Live 31,2023-08-12,2023-08-12 15:24:40.336342,réglage JN
25,Position aléatoire long,Gretillat Live 31,2023-08-12,2023-08-12 15:24:55.216598,position aléatoire
30,Position aléatoire long,Gretillat Live 31,2023-08-12,2023-08-12 15:25:24.215823,position aléatoire jusqu'à obtenir une position billes en lunette
30,Gestuelle,Gretillat exo 60,2023-08-12,2023-08-12 15:26:03.767259,rétro 3b billes collées
30,Gestuelle,Gretillat exo 61,2023-08-12,2023-08-12 15:26:26.283558,gamme retro longueur
19,Gestuelle,Angle droit rappel 4b,2023-08-12,2023-08-12 15:26:56.861342,
30,Gestuelle,Divers,2023-08-12,2023-08-12 15:27:15.831453,
20,Gestuelle,Gretillat exo 61,2023-08-12,2023-08-12 15:27:47.836126,
30,Gestuelle,Divers,2023-08-12,2023-08-12 15:28:06.804417,
30,Gestuelle,Travail mesure,2023-08-12,2023-08-12 15:28:26.152364,
30,Gestuelle,Travail mesure,2023-08-12,2023-08-12 15:28:27.425582,
30,Gestuelle,"Rappel long doublé, arrivé en mesure",2023-08-12,2023-08-12 15:28:59.365914,
25,Gestuelle,Divers,2023-08-12,2023-08-12 15:29:12.760412,
30,Gestuelle,Retro 3b billes collées,2023-08-12,2023-08-12 15:29:46.039372,
30,Gestuelle,Guenet Retros tiers mesure parfaite,2023-08-12,2023-08-12 15:30:17.682779,
30,Position aléatoire large,Gretillat Live 31,2023-08-12,2023-08-12 15:32:05.845916,
30,Position aléatoire large,Gretillat position aléatoire dans le tiers,2023-08-12,2023-08-12 15:32:32.619896,
30,Position aléatoire large,Gretillat position aléatoire dans le tiers,2023-08-12,2023-08-12 15:32:33.792232,
30,Position aléatoire large,Gretillat position aléatoire dans le tiers,2023-08-12,2023-08-12 15:32:34.624808,
30,Position aléatoire large,Gretillat position aléatoire dans le tiers,2023-08-12,2023-08-12 15:32:35.523124,
45,Rappel long,Gretillat Positions Livre,2023-08-12,2023-08-12 15:33:18.501071,1-13
30,Rappel long,Gretillat Positions Livre,2023-08-12,2023-08-12 15:33:31.857136,14-24
30,Rappel long,Gretillat Positions Livre,2023-08-12,2023-08-12 15:33:41.456344,24-32
30,Rappel long,Gretillat Positions Livre,2023-08-12,2023-08-12 15:33:50.872559,33-40
30,Rappel long,Gretillat Positions Livre,2023-08-12,2023-08-12 15:34:03.103975,41-49
30,Rappel long,Gretillat Positions Livre,2023-08-12,2023-08-12 15:34:10.685863,50-60
30,Rappel long,Gretillat Positions Livre,2023-08-12,2023-08-12 15:34:22.090533,61-67
60,Rappel long,Gretillat Positions Livre,2023-08-12,2023-08-12 15:34:36.726605,1-26
45,Rappel long,Gretillat Positions Livre,2023-08-12,2023-08-12 15:34:58.570410,27-37
30,Rappel long,Gretillat Positions Livre,2023-08-12,2023-08-12 15:35:31.944824,38-43
